scale,question_clusters,outputs_per_variant,base_drift_n,base_visible_n,base_drift_pct,ft_drift_n,ft_visible_n,ft_drift_pct,delta_pp,p_clustered,p_holm
0.8B,200,1800,819,1540,53.18181818181818,12,1747,0.6868918145392101,-52.49492636727897,4.9999750001249995e-06,1.4999925000374999e-05
2B,200,1800,764,1738,43.958573072497124,4,1795,0.22284122562674094,-43.73573184687039,4.9999750001249995e-06,1.4999925000374999e-05
4B,200,1800,792,1771,44.72049689440994,9,1204,0.7475083056478405,-43.9729885887621,4.9999750001249995e-06,1.4999925000374999e-05
