scale,question_clusters,strict_outcomes_per_variant,strict_delta,strict_delta_pp,strict_p,answers_per_variant,answer_delta,answer_delta_pp,answer_p,strict_p_holm,answer_p_holm
0.8B,200,1200,169,14.083333333333334,4.452750031423289e-31,3600,261,7.25,4.36210487020682e-07,1.3358250094269868e-30,1.308631461062046e-06
2B,200,1200,94,7.833333333333333,2.1085264820215422e-08,3600,226,6.277777777777778,2.4368584463344198e-06,4.2170529640430844e-08,4.8737168926688396e-06
4B,200,1200,-25,-2.0833333333333335,0.2660774856330633,3600,-28,-0.7777777777777778,0.5964833927635879,0.2660774856330633,0.5964833927635879
